                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.38903,                0.23279,                0.80381,                0.99827,                      1,                  0.995,                0.87625,                0.34706,                  0.191,                0.76912,              0.0010314,              0.0010314,              0.0010314
                     56,                0.38095,                0.22799,                 0.8018,                0.99855,                      1,                  0.995,                0.89654,                0.34023,                0.19052,                0.76728,              0.0010273,              0.0010273,              0.0010273
                     57,                0.38368,                0.22731,                 0.8037,                 0.9986,                      1,                  0.995,                0.89059,                0.34221,                0.19098,                0.76791,              0.0010231,              0.0010231,              0.0010231
                     58,                0.37483,                0.22215,                0.80328,                0.99829,                      1,                  0.995,                0.88783,                0.34051,                0.19018,                0.76707,               0.001019,               0.001019,               0.001019
                     59,                 0.3753,                0.22259,                0.80278,                0.99854,                      1,                  0.995,                0.88571,                0.33599,                0.18731,                0.76497,              0.0010149,              0.0010149,              0.0010149
                     60,                0.37536,                0.21976,                0.79897,                0.99862,                      1,                  0.995,                 0.8975,                0.32024,                0.17634,                 0.7653,              0.0010107,              0.0010107,              0.0010107
                     61,                0.38217,                0.22241,                0.80223,                0.99843,                      1,                  0.995,                0.90282,                0.33585,                0.18461,                0.76558,              0.0010066,              0.0010066,              0.0010066
                     62,                0.36856,                0.22047,                 0.7978,                0.99849,                      1,                  0.995,                0.85809,                0.36994,                 0.1948,                 0.7727,              0.0010025,              0.0010025,              0.0010025
                     63,                 0.3782,                0.22794,                0.80501,                0.99852,                      1,                  0.995,                 0.9079,                0.34053,                0.19195,                0.76662,             0.00099837,             0.00099837,             0.00099837
                     64,                 0.3682,                0.22706,                0.80048,                0.99742,                      1,                  0.995,                0.89412,                0.33739,                0.19027,                0.76864,             0.00099425,             0.00099425,             0.00099425
                     65,                0.38319,                0.23282,                0.80206,                 0.9983,                      1,                  0.995,                0.90623,                0.33326,                0.19648,                0.76861,             0.00099013,             0.00099013,             0.00099013
                     66,                0.36854,                0.22562,                0.79677,                0.99845,                      1,                  0.995,                0.88979,                0.33478,                0.18389,                0.76718,               0.000986,               0.000986,               0.000986
                     67,                0.37528,                0.22859,                0.79996,                0.99858,                      1,                  0.995,                0.88692,                0.35891,                0.20221,                0.76974,             0.00098187,             0.00098187,             0.00098187
                     68,                0.36955,                0.22606,                0.79792,                0.99958,                      1,                  0.995,                0.89698,                0.33645,                0.18638,                0.76642,             0.00097775,             0.00097775,             0.00097775
                     69,                0.36562,                0.22514,                0.79838,                 0.9985,                      1,                  0.995,                  0.894,                0.32023,                0.19254,                0.76493,             0.00097362,             0.00097362,             0.00097362
                     70,                0.36931,                0.22337,                0.79993,                0.99874,                      1,                  0.995,                0.89285,                0.34538,                0.19498,                0.76753,              0.0009695,              0.0009695,              0.0009695
                     71,                0.36787,                  0.218,                0.80018,                0.99862,                      1,                  0.995,                0.89598,                0.33605,                0.18634,                0.76737,             0.00096537,             0.00096537,             0.00096537
                     72,                0.36911,                0.21787,                0.80459,                0.99871,                      1,                  0.995,                0.89014,                0.32396,                0.18081,                0.76516,             0.00096125,             0.00096125,             0.00096125
                     73,                0.38347,                0.22319,                 0.8002,                0.99937,                      1,                  0.995,                0.87481,                0.35188,                0.18874,                0.76928,             0.00095712,             0.00095712,             0.00095712
                     74,                0.37273,                0.22119,                0.80003,                0.99893,                      1,                  0.995,                 0.8911,                  0.332,                0.19129,                0.76643,               0.000953,               0.000953,               0.000953
                     75,                 0.3647,                 0.2159,                0.80157,                0.99835,                      1,                  0.995,                0.88907,                0.33668,                0.18453,                0.77019,             0.00094887,             0.00094887,             0.00094887
                     76,                 0.3591,                0.21031,                0.80046,                0.99889,                      1,                  0.995,                0.90061,                0.32133,                0.17963,                0.76573,             0.00094475,             0.00094475,             0.00094475
                     77,                0.36843,                0.21509,                0.79932,                0.99868,                      1,                  0.995,                0.90854,                0.32789,                0.18435,                0.76762,             0.00094062,             0.00094062,             0.00094062
